NewsId,ExpandedUrl,ShortUrl,DisplayUrl,SourceUrl,Text,Title,Description,PublicationTime
1,http://W,http://W,http://W,http://W,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
2,http://X,http://X,http://X,http://X,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
3,http://Y,http://Y,http://Y,http://Y,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
4,http://AE,http://AE,http://AE,http://AE,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
5,http://AF,http://AF,http://AF,http://AF,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
6,http://AG,http://AG,http://AG,http://AG,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
7,http://AH,http://AH,http://AH,http://AH,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
8,http://AI,http://AI,http://AI,http://AI,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
9,http://AJ,http://AJ,http://AJ,http://AJ,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
10,http://AK,http://AK,http://AK,http://AK,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
11,http://AL,http://AL,http://AL,http://AL,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
12,http://AM,http://AM,http://AM,http://AM,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
13,http://AN,http://AN,http://AN,http://AN,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
