"Id";"TweetId";"Text";"StartIndex";"EndIndex";"EntityTypeCode";"Url";"ExpandedUrl";"DisplayUrl";"Name";"ScreenName";"UserOrMediaId";"MediaUrl";"MediaUrlHttps";"MediaType";"MediaSize"
1;2999192431632386;"http://on.cnn.com/cE45GW";72;96;2;"http://on.cnn.com/cE45GW";"http://www.cnn.com/2010/SHOWBIZ/11/12/garfield.ill.timed.comic/index.html";"http://on.cnn.com/cE45GW";"";"";0;"";"";"";""
2;2999192431632386;"Veterans";45;54;4;"";"";"";"";"";0;"";"";"";""
3;2999192431632386;"comic";59;65;4;"";"";"";"";"";0;"";"";"";""
4;3076265317761025;"http://on.cnn.com/cE45GW";84;108;2;"http://on.cnn.com/cE45GW";"http://www.cnn.com/2010/SHOWBIZ/11/12/garfield.ill.timed.comic/index.html";"http://on.cnn.com/cE45GW";"";"";0;"";"";"";""
5;3076265317761025;"cnnbrk";3;10;3;"";"";"";"CNN Breaking News";"cnnbrk";428333;"";"";"";""
6;3076265317761025;"Veterans";57;66;4;"";"";"";"";"";0;"";"";"";""
7;3076265317761025;"comic";71;77;4;"";"";"";"";"";0;"";"";"";""
8;3068555662721024;"http://nyti.ms/aqBsKK";46;67;2;"http://nyti.ms/aqBsKK";"http://www.nytimes.com/2010/11/13/business/global/13group.html?src=twt&twt=nytimesworld";"http://nyti.ms/aqBsKK";"";"";0;"";"";"";""
9;3076826377224192;"http://nyti.ms/aqBsKK";64;85;2;"http://nyti.ms/aqBsKK";"http://www.nytimes.com/2010/11/13/business/global/13group.html?src=twt&twt=nytimesworld";"http://nyti.ms/aqBsKK";"";"";0;"";"";"";""
10;3076826377224192;"nytimesworld";3;16;3;"";"";"";"NYTimes World";"nytimesworld";1877831;"";"";"";""
11;3076796341813248;"http://bbc.in/c13bJa";34;54;2;"http://bbc.in/c13bJa";"http://www.bbc.co.uk/news/world-africa-11743454?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/c13bJa";"";"";0;"";"";"";""
12;3077055117795328;"http://bbc.in/c13bJa";48;68;2;"http://bbc.in/c13bJa";"http://www.bbc.co.uk/news/world-africa-11743454?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/c13bJa";"";"";0;"";"";"";""
13;3077055117795328;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
14;3068896865161216;"http://bbc.in/9lo2HJ";34;54;2;"http://bbc.in/9lo2HJ";"http://www.bbc.co.uk/news/world-europe-11741964?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9lo2HJ";"";"";0;"";"";"";""
15;3077338304610304;"http://bbc.in/9lo2HJ";48;68;2;"http://bbc.in/9lo2HJ";"http://www.bbc.co.uk/news/world-europe-11741964?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9lo2HJ";"";"";0;"";"";"";""
16;3077338304610304;"BBCWorld";3;12;3;"";"";"";"BBC Global News";"BBCWorld";742143;"";"";"";""
18;3077705247494144;"http://bbc.in/9lo2HJ";48;68;2;"http://bbc.in/9lo2HJ";"http://www.bbc.co.uk/news/world-europe-11741964?utm_source=twitterfeed&utm_medium=twitter";"http://bbc.in/9lo2HJ";"";"";0;"";"";"";""
