"Id";"ScreenName";"Description";"Name";"FollowersCount";"Protected";"Verified";"GeoEnabled";"StatusesCount";"FriendsCount";"Language";"ModificationTimestamp"
-1;"null";"";"";0;"0";"";"";0;0;"";"2015-04-03 04:35:14"
12;"jack";"";"";0;"0";"";"";0;0;"";"2015-02-04 02:02:45"
13;"biz";"";"Biz Stone";0;"0";"";"";0;0;"";"2015-02-04 02:11:47"
15;"crystal";"";"crystal";0;"0";"";"";0;0;"";"2015-02-06 17:22:49"
16;"jeremy";"";"Jeremy";0;"0";"";"";0;0;"";"2015-02-05 22:43:24"
20;"ev";"";"Evan Williams";0;"0";"";"";0;0;"";"2015-02-04 01:59:38"
22;"rabble";"";"";0;"0";"";"";0;0;"";"2015-02-06 00:06:25"
24;"meredith";"";"meredith";0;"0";"";"";0;0;"";"2015-02-06 17:44:34"
47;"kellan";"";"";0;"0";"";"";0;0;"";"2015-02-05 14:28:45"
53;"sara";"";"sara ";0;"0";"";"";0;0;"";"2015-02-05 22:56:15"
56;"kati";"";"Kati";0;"0";"";"";0;0;"";"2015-02-04 04:38:22"
57;"SarahM";"";"Sarah Milstein";0;"0";"";"";0;0;"";"2015-02-05 11:06:35"
60;"andrew";"";"Andrew Dorsey";0;"0";"";"";0;0;"";"2015-02-27 15:17:25"
61;"dan";"";"Dan";0;"0";"";"";0;0;"";"2015-02-05 16:23:16"
64;"livia";"";"";0;"0";"";"";0;0;"";"2015-02-09 01:47:42"
81;"susan";"";"Susan";0;"0";"";"";0;0;"";"2015-03-18 20:18:50"
89;"al";"";"Allison Williams";0;"0";"";"";0;0;"";"2015-02-04 03:58:36"
92;"Mike";"";"Mike Michon";0;"0";"";"";0;0;"";"2015-02-04 15:22:48"
107;"pud";"";"";0;"0";"";"";0;0;"";"2015-02-08 03:51:41"
208;"bethany";"";"bethany";0;"0";"";"";0;0;"";"2015-02-04 03:45:21"
209;"phil";"";"Phil";0;"0";"";"";0;0;"";"2015-02-28 02:11:45"
222;"Nic";"";"Nic Werner";0;"0";"";"";0;0;"";"2015-02-04 15:22:51"
224;"davepell";"";"";0;"0";"";"";0;0;"";"2015-02-16 22:17:24"
236;"precipice";"";"Marc Hedlund";0;"0";"";"";0;0;"";"2015-02-09 16:42:08"
242;"victor";"";"Victor";0;"0";"";"";0;0;"";"2015-02-04 16:48:40"
257;"rael";"";"";0;"0";"";"";0;0;"";"2015-02-16 22:28:10"
259;"ian";"";"";0;"0";"";"";0;0;"";"2015-02-28 11:51:28"
265;"leah";"";"leah";0;"0";"";"";0;0;"";"2015-02-05 23:01:38"
279;"Angela";"";"Angela";0;"0";"";"";0;0;"";"2015-03-04 12:07:05"
280;"glen";"";"Glen";0;"0";"";"";0;0;"";"2015-02-07 01:05:12"
