you,twitter,iTunes,people,Beatles,time,me,who,Thanksgiving,believe
0.132, 0.105, 0.094, 0.070, 0.060, 0.057, 0.056, 0.045, 0.041, 0.028
first,dog,UN,white,Irish,bailout,black,EU,protest,New Orleans
0.097, 0.085, 0.084, 0.083, 0.082, 0.069, 0.062, 0.060, 0.043, 0.038
Bloomberg,kids,free,old,tcot,Illegal Immigrants,truth,may,Calif,cnn
0.161, 0.067, 0.063, 0.060, 0.055, 0.027, 0.027, 0.026, 0.026, 0.024
New York,Vintage,photos,we,vote,1970s,left,fight,hehe,need
0.124, 0.093, 0.091, 0.069, 0.064, 0.062, 0.062, 0.036, 0.031, 0.030
Apple,Online,Beatles,Deal,Sell,Catalog,Strikes,album,Russian,Aid
0.109, 0.098, 0.087, 0.073, 0.067, 0.067, 0.067, 0.026, 0.024, 0.022
good,Europe,South Africa,Thailand,Russian,happy,tour,Habana,terrorism,auction
0.129, 0.090, 0.083, 0.078, 0.069, 0.051, 0.050, 0.034, 0.032, 0.027
French,prime minister,French prime minister,Sarkozy,government,resigns,reshuffle,Medical Marijuana,Arizona,15th State
0.201, 0.126, 0.124, 0.084, 0.073, 0.063, 0.062, 0.045, 0.040, 0.025
Afghanistan,U.S,Caucus,Russia,Hits,Collapse,Bravery,G.O.P,Treaty,Korean
0.083, 0.060, 0.050, 0.043, 0.033, 0.030, 0.030, 0.030, 0.029, 0.029
chat,ur,Facebook,see,messaging system,leader,I'm going,users,Aung San Suu Kyi,Burmese
0.218, 0.102, 0.055, 0.047, 0.045, 0.040, 0.032, 0.029, 0.027, 0.026
Sun,cash,Pakistan,CEO,Now,wow,drug,Microsoft,will,chief
0.257, 0.068, 0.067, 0.038, 0.037, 0.033, 0.030, 0.026, 0.026, 0.025
G20,Earth,water,China,UK,debt,gold,Moon,suffer,Daily Beast
0.063, 0.049, 0.045, 0.043, 0.041, 0.032, 0.027, 0.027, 0.026, 0.026
still,Google,release,West,al-Qaeda,defeat,person,Iran,isn,Nigeria
0.082, 0.068, 0.051, 0.044, 0.044, 0.044, 0.043, 0.042, 0.041, 0.040
Will,nation,NBC,GOD,defense,One,in U.S,men,will,service
0.263, 0.137, 0.135, 0.075, 0.055, 0.048, 0.027, 0.019, 0.018, 0.018
die,die in,Mexico,T Magazine,London,NFL,shit,If,Watch,Germany
0.134, 0.111, 0.095, 0.086, 0.083, 0.077, 0.036, 0.035, 0.032, 0.030
can,rules,California,tuition,Supreme Court,illegal  immigrants,Texas,Search,Democrat,Ohio
0.109, 0.089, 0.089, 0.079, 0.074, 0.068, 0.047, 0.028, 0.026, 0.025
USA,today,us,Japan,calls,show,Who,Us,growth,anti-virus
0.153, 0.093, 0.073, 0.047, 0.035, 0.033, 0.030, 0.027, 0.025, 0.024
dead,Haiti  cholera outbreak,Cure,Subway,Tweet,New Jersey,Bill Clinton,Unemployment,Dollar,ratings
0.124, 0.068, 0.050, 0.045, 0.044, 0.043, 0.040, 0.039, 0.037, 0.033
God,Money,War,George W. Bush,Governor,Florida,Pardon,At War,Afghanistan,Treat
0.109, 0.074, 0.060, 0.058, 0.041, 0.038, 0.037, 0.036, 0.034, 0.033
Stimulus,Japanese Economy,Post,day,Rise,Billion,life,South,North Korea,DealBook
0.058, 0.042, 0.041, 0.037, 0.034, 0.033, 0.032, 0.031, 0.030, 0.028
Prince William,William and Kate,Kate Middleton,engaged,Britain,royal,Kate  Middleton,marry,Company,engagement
0.185, 0.084, 0.081, 0.067, 0.065, 0.051, 0.044, 0.040, 0.021, 0.020
Bush,Obama,Congress,Palin,Iraq,Earmarks,Republicans,Ban,Caucus,Tea Party
0.077, 0.065, 0.050, 0.037, 0.036, 0.034, 0.031, 0.031, 0.029, 0.028
women,gay,NYT,ban,men,Health,NEWS,openly gay,Married,Engaged
0.084, 0.077, 0.043, 0.042, 0.036, 0.035, 0.034, 0.034, 0.034, 0.034
sex,Power,Republican,UK,jail,Obama,support,author,American,Singapore
0.218, 0.063, 0.036, 0.023, 0.023, 0.022, 0.022, 0.020, 0.020, 0.014
Haiti,Leaders,Obama,Cholera,Trade,Asia-Pacific,Netanyahu,Dissident,Work,Burmese
0.047, 0.037, 0.036, 0.036, 0.036, 0.034, 0.030, 0.028, 0.027, 0.026
hahaha,Burma,Aung San Suu Kyi,war,Medal of Honor,Kyi,war vet,Afghan war,today,veterans
0.373, 0.060, 0.050, 0.031, 0.028, 0.021, 0.021, 0.021, 0.020, 0.019
killed,India,New Delhi,official,Pacquiao,pirates,UK,violence,Warning,Darfur
0.070, 0.067, 0.034, 0.028, 0.024, 0.023, 0.023, 0.022, 0.022, 0.022
NYC,tweets,Aruba,Natalee  Holloway,friends,shot,now,DADT,death,Hollywood
0.093, 0.083, 0.078, 0.073, 0.070, 0.064, 0.043, 0.043, 0.039, 0.038
org,Alaska,OK,se,Murkowski,Gay,ha,Ban,Military,Justices
0.105, 0.069, 0.065, 0.053, 0.039, 0.039, 0.039, 0.038, 0.033, 0.029
Facebook,iPhone,app,via,Twitter,Chinese,Don,Facebook Messages,students,Harry Potter
0.143, 0.094, 0.066, 0.065, 0.061, 0.054, 0.044, 0.036, 0.032, 0.031
right,Sarah Palin,oil,Family,will,China,murder,plan,today,honeymoon
0.101, 0.077, 0.063, 0.061, 0.053, 0.044, 0.040, 0.034, 0.030, 0.030
yes,LOL,You,game,Wow,Harry Potter,Facebook,guy,OMG,good
0.117, 0.094, 0.057, 0.044, 0.036, 0.030, 0.030, 0.027, 0.026, 0.023
TSA,Christmas,Energy Drinks,Alcoholic,F.D.A,Can,but not,economist,wine,bill
0.096, 0.060, 0.049, 0.048, 0.039, 0.037, 0.035, 0.028, 0.027, 0.025
I'm,love,job,Life,Think,Haha,learn,heart,smile,tacos
0.152, 0.127, 0.108, 0.077, 0.063, 0.055, 0.055, 0.054, 0.043, 0.039
Aung San Suu Kyi,Myanmar,activist,house arrest,state,don,debt,Europe,Stocks,Dow
0.117, 0.096, 0.062, 0.056, 0.056, 0.054, 0.049, 0.043, 0.041, 0.035
British,Somali pirates,yacht,captivity,law,well,Brazil,TV,real,watch
0.188, 0.115, 0.101, 0.097, 0.051, 0.047, 0.039, 0.036, 0.034, 0.025
haha,out,up,Venezuela,Paris,German,yeah,common,Security,me
0.118, 0.110, 0.091, 0.038, 0.033, 0.026, 0.025, 0.024, 0.024, 0.024
Arizona,to win,im,privacy,medical  marijuana,marijuana law,ABC,security,rock,AP
0.098, 0.081, 0.066, 0.062, 0.060, 0.060, 0.038, 0.037, 0.034, 0.030
lol,think,will,nice,song,back,him,can,one,ok
0.336, 0.084, 0.055, 0.050, 0.035, 0.032, 0.029, 0.029, 0.028, 0.025
para,es,trial,Nice,este,President Obama,pregnancy,tax cuts,middle class,Scotland
0.217, 0.082, 0.054, 0.053, 0.051, 0.046, 0.038, 0.032, 0.029, 0.025
family,Ohio,man,teen,basement,members,safe,kidnapping,charged,Night Raids
0.107, 0.086, 0.084, 0.081, 0.080, 0.076, 0.073, 0.072, 0.069, 0.020
CNN,President,McConnell,federal,no regrets,bailout,George W.  Bush,premiere,restaurant,ppl
0.139, 0.096, 0.062, 0.057, 0.054, 0.053, 0.053, 0.032, 0.032, 0.031
Lol,iPad,People,Sen,human,me a,apps,thing,ur,Obama
0.138, 0.100, 0.060, 0.057, 0.043, 0.038, 0.038, 0.037, 0.035, 0.034
Who,Green,Harry Potter,red carpet,Mars,Study,Risk,Ancient,leadership,Rain
0.061, 0.047, 0.026, 0.026, 0.025, 0.024, 0.023, 0.023, 0.021, 0.021
Blog,CNN,read,Heat,America,Back,Team,NY,Cowboys,College
0.379, 0.027, 0.021, 0.015, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013
time,work,Yes,wasn,football,feeling,God,this morning,Mexican,show
0.173, 0.103, 0.068, 0.057, 0.053, 0.048, 0.040, 0.038, 0.032, 0.029
US,House,spot,Democrats,species,in  House,squid,Italian,sun,Israel
0.120, 0.102, 0.091, 0.083, 0.072, 0.065, 0.038, 0.036, 0.034, 0.033
voters,measure,Arizona,medical  marijuana,business,California,San Francisco,Nicaragua,Little,TV
