,UserId,FinalInterests
0,742143,"[0.18414688110351562, 0.4948757290840149, 0.9498153328895569, 0.9973664879798889, 0.18301111459732056, 0.24451231956481934, 0.8217809200286865, 0.9892696738243103, 0.17904382944107056, 0.24695873260498047, 0.7693781852722168, 0.9023698568344116, 0.9588652849197388, 0.6431109309196472, 0.6743365526199341, 0.1474577784538269, 0.762630820274353, 0.16757941246032715, 0.7180208563804626, 0.7888561487197876, 0.729374349117279, 0.6256237030029297, 0.574522852897644, 0.13930124044418335, 0.812895655632019, 0.4595208168029785, 0.5951259732246399, 0.8500393033027649, 0.7307735681533813, 0.7795962691307068]"
1,800594,"[0.498227059841156, 0.013855814933776855, 0.7415800094604492, 0.561127245426178, 0.31758880615234375, 0.969641923904419, 0.217662513256073, 0.4604035019874573, 0.42352062463760376, 0.7692496180534363, 0.8680474162101746, 0.7910103797912598, 0.28410065174102783, 0.7306213974952698, 0.28573089838027954, 0.461067259311676, 0.6571905612945557, 0.8064104914665222, 0.9912577271461487, 0.5238046050071716, 0.31570571660995483, 0.45199912786483765, 0.22696250677108765, 0.5303781032562256, 0.633995532989502, 0.3319658637046814, 0.7947168946266174, 0.19438230991363525, 0.36661189794540405, 0.3559977412223816]"
2,816653,"[0.37685054540634155, 0.4531756043434143, 0.37455958127975464, 0.3609553575515747, 0.9788405299186707, 0.6639742255210876, 0.20031803846359253, 0.01866936683654785, 0.7457766532897949, 0.5178713202476501, 0.43372654914855957, 0.019409596920013428, 0.17630964517593384, 0.5763483047485352, 0.266068696975708, 0.43404102325439453, 0.014456629753112793, 0.05060553550720215, 0.9080179929733276, 0.43858253955841064, 0.2196637988090515, 0.7720026969909668, 0.8782293200492859, 0.20873218774795532, 0.6309260725975037, 0.879266083240509, 0.2536808252334595, 0.4081481099128723, 0.48051297664642334, 0.43659400939941406]"
3,961201,"[0.8067331910133362, 0.8805991411209106, 0.5969070792198181, 0.08554697036743164, 0.8918007016181946, 0.07612258195877075, 0.48075324296951294, 0.9452458024024963, 0.4540032148361206, 0.37820690870285034, 0.799416184425354, 0.7717856764793396, 0.2385333776473999, 0.5308053493499756, 0.20508956909179688, 0.779833972454071, 0.06676453351974487, 0.0833238959312439, 0.36537379026412964, 0.6411149501800537, 0.896196186542511, 0.1760675311088562, 0.8599231839179993, 0.14119726419448853, 0.3294219374656677, 0.28805017471313477, 0.836959958076477, 0.9535550475120544, 0.8028565049171448, 0.6373609304428101]"
4,1934931,"[0.1219974160194397, 0.9824484586715698, 0.39832282066345215, 0.5614784359931946, 0.1898033618927002, 0.7803097367286682, 0.20220023393630981, 0.999916672706604, 0.4109688997268677, 0.2905094623565674, 0.11599582433700562, 0.4108272194862366, 0.06274324655532837, 0.05465906858444214, 0.36854541301727295, 0.08789801597595215, 0.14455294609069824, 0.13982445001602173, 0.07702314853668213, 0.5480884909629822, 0.7588740587234497, 0.215815007686615, 0.43130022287368774, 0.15855562686920166, 0.927776038646698, 0.6537055373191833, 0.7008423209190369, 0.8180201649665833, 0.8473047018051147, 0.29233336448669434]"
5,4970411,"[0.7146281003952026, 0.34627121686935425, 0.989200234413147, 0.39124125242233276, 0.7104343771934509, 0.7267058491706848, 0.6991000771522522, 0.276452898979187, 0.8103591799736023, 0.2394391894340515, 0.637645423412323, 0.16889137029647827, 0.6603288054466248, 0.6426620483398438, 0.2783104181289673, 0.6219056248664856, 0.7389169335365295, 0.6424901485443115, 0.6122004389762878, 0.6457706093788147, 0.691892147064209, 0.646277666091919, 0.5949133038520813, 0.2573966383934021, 0.656543493270874, 0.6143612265586853, 0.18067467212677002, 0.2650563716888428, 0.2065049409866333, 0.2763470411300659]"
6,6980622,"[0.7291880249977112, 0.7906871438026428, 0.014074504375457764, 0.4487884044647217, 0.718766450881958, 0.8683754801750183, 0.32668542861938477, 0.04870295524597168, 0.7695106267929077, 0.5189420580863953, 0.09182244539260864, 0.3387266993522644, 0.8613666892051697, 0.2960757613182068, 0.00994718074798584, 0.8031160235404968, 0.9240869879722595, 0.1405988335609436, 0.8701092004776001, 0.8031576871871948, 0.8067294359207153, 0.8991567492485046, 0.053714096546173096, 0.256374716758728, 0.9002761840820312, 0.4654567837715149, 0.33231401443481445, 0.8046421408653259, 0.689446210861206, 0.47803473472595215]"
7,9466892,"[0.3399684429168701, 0.9436937570571899, 0.038381338119506836, 0.022207021713256836, 0.1998196244239807, 0.8134991526603699, 0.7745490074157715, 0.12502187490463257, 0.9520657658576965, 0.5600273013114929, 0.7153074145317078, 0.5351549386978149, 0.469992458820343, 0.7330792546272278, 0.2678230404853821, 0.4800557494163513, 0.5818297266960144, 0.9155290126800537, 0.8467503786087036, 0.16316622495651245, 0.7382836937904358, 0.0058743953704833984, 0.5020280480384827, 0.6044531464576721, 0.3238702416419983, 0.5709788203239441, 0.6432125568389893, 0.3601459264755249, 0.933358907699585, 0.04343348741531372]"
8,9522502,"[0.28478193283081055, 0.15482068061828613, 0.4345359802246094, 0.05105793476104736, 0.5472993850708008, 0.0700255036354065, 0.20867019891738892, 0.483870267868042, 0.4120579957962036, 0.8103950619697571, 0.7272129058837891, 0.40719377994537354, 0.7630197405815125, 0.6257096529006958, 0.36358457803726196, 0.9404758810997009, 0.7336934804916382, 0.5824223160743713, 0.8282093405723572, 0.4601414203643799, 0.2794705033302307, 0.10803568363189697, 0.0006898641586303711, 0.7996927499771118, 0.8280310034751892, 0.21081769466400146, 0.8017252683639526, 0.3853515386581421, 0.4559798836708069, 0.5497456789016724]"
9,9567382,"[0.7138965129852295, 0.5774842500686646, 0.9167575240135193, 0.7399123907089233, 0.8598955273628235, 0.7916238903999329, 0.678248941898346, 0.2070469856262207, 0.13474851846694946, 0.5385745763778687, 0.22227317094802856, 0.6063684225082397, 0.7494300007820129, 0.7266622185707092, 0.78948575258255, 0.5443910956382751, 0.35991358757019043, 0.10103952884674072, 0.10850310325622559, 0.7652400732040405, 0.03234744071960449, 0.6202956438064575, 0.31774377822875977, 0.8238469958305359, 0.45627832412719727, 0.8755302429199219, 0.7570547461509705, 0.7168801426887512, 0.8001157641410828, 0.0873599648475647]"
