Id_x,TweetId,Url,ExpandedUrl_x,DisplayUrl,UserId,NewsId,ExpandedUrl_y,ShortUrl,SourceUrl
1682916,9834109190803456,http://yfrog.com/fy1oz0j,http://yfrog.com/fy1oz0j,http://yfrog.com/fy1oz0j,21478415,2,http://yfrog.com/fy1oz0j,http://yfrog.com/fy1oz0j,http://yfrog.com
1683087,9834519863492608,http://j.mp/dLpGyK,http://j.mp/dLpGyK,http://j.mp/dLpGyK,29711378,14,http://j.mp/dLpGyK,http://j.mp/dLpGyK,http://j.mp
1683129,9834573571555329,http://plixi.com/p/60233909,http://plixi.com/p/60233909,http://plixi.com/p/60233909,116973704,16,http://plixi.com/p/60233909,http://plixi.com/p/60233909,http://plixi.com
1683166,9834619486605312,http://fb.me/vB,http://fb.me/vB,http://fb.me/vB,156494790,19,http://fb.me/vB,http://fb.me/vB,http://fb.me
1683236,9834767813971970,http://bit.ly/gg2mmO,http://bit.ly/gg2mmO,http://bit.ly/gg2mmO,103415179,23,http://bit.ly/gg2mmO,http://bit.ly/gg2mmO,http://bit.ly
1683263,9834855315546112,http://bit.ly/dErz9G,http://bit.ly/dErz9G,http://bit.ly/dErz9G,89450929,27,http://bit.ly/dErz9G,http://bit.ly/dErz9G,http://bit.ly
1683276,9834887863345152,http://dlvr.it/9VL3d,http://dlvr.it/9VL3d,http://dlvr.it/9VL3d,57869243,30,http://dlvr.it/9VL3d,http://dlvr.it/9VL3d,http://dlvr.it
1683291,9834911447912448,http://bit.ly/efLU32,http://bit.ly/efLU32,http://bit.ly/efLU32,89450929,31,http://bit.ly/efLU32,http://bit.ly/efLU32,http://bit.ly
1683328,9835020604669952,http://is.gd/i1In9,http://is.gd/i1In9,http://is.gd/i1In9,21478415,35,http://is.gd/i1In9,http://is.gd/i1In9,http://is.gd
1683362,9835111558156288,http://bit.ly/hRMHyR,http://bit.ly/hRMHyR,http://bit.ly/hRMHyR,48510756,39,http://bit.ly/hRMHyR,http://bit.ly/hRMHyR,http://bit.ly
1683567,9835506632228864,http://j.mp/horpzh,http://j.mp/horpzh,http://j.mp/horpzh,29711378,53,http://j.mp/horpzh,http://j.mp/horpzh,http://j.mp
1683567,9835506632228864,http://j.mp/horpzh,http://j.mp/horpzh,http://j.mp/horpzh,29711378,7614,http://j.mp/horpzh,http://j.mp/horpzh,http://j.mp
1683614,9835633920974848,http://twb.ly/aUDthM,http://twb.ly/aUDthM,http://twb.ly/aUDthM,29711378,58,http://twb.ly/aUDthM,http://twb.ly/aUDthM,http://twb.ly
1683614,9835633920974848,http://twb.ly/aUDthM,http://twb.ly/aUDthM,http://twb.ly/aUDthM,29711378,8709,http://twb.ly/aUDthM,http://twb.ly/aUDthM,http://twb.ly
1683682,9835742087880705,http://bit.ly/eL0ECi,http://bit.ly/eL0ECi,http://bit.ly/eL0ECi,103415179,64,http://bit.ly/eL0ECi,http://bit.ly/eL0ECi,http://bit.ly
1683685,9835743346163712,http://bit.ly/gdFYYG,http://bit.ly/gdFYYG,http://bit.ly/gdFYYG,103415179,65,http://bit.ly/gdFYYG,http://bit.ly/gdFYYG,http://bit.ly
1683688,9835744340221952,http://bit.ly/ffVnY8,http://bit.ly/ffVnY8,http://bit.ly/ffVnY8,103415179,66,http://bit.ly/ffVnY8,http://bit.ly/ffVnY8,http://bit.ly
1683691,9835745434927104,http://bit.ly/g0pAyw,http://bit.ly/g0pAyw,http://bit.ly/g0pAyw,103415179,67,http://bit.ly/g0pAyw,http://bit.ly/g0pAyw,http://bit.ly
1683694,9835746269601792,http://bit.ly/eWsHHR,http://bit.ly/eWsHHR,http://bit.ly/eWsHHR,103415179,68,http://bit.ly/eWsHHR,http://bit.ly/eWsHHR,http://bit.ly
1683757,9835900720644096,http://is.gd/i1J4f,http://is.gd/i1J4f,http://is.gd/i1J4f,21478415,74,http://is.gd/i1J4f,http://is.gd/i1J4f,http://is.gd
1683785,9835972455829504,http://j.mp/ez8ARF,http://j.mp/ez8ARF,http://j.mp/ez8ARF,107171260,76,http://j.mp/ez8ARF,http://j.mp/ez8ARF,http://j.mp
1683790,9836027149549568,http://engt.co/gYX6Jy,http://engt.co/gYX6Jy,http://engt.co/gYX6Jy,103415179,78,http://engt.co/gYX6Jy,http://engt.co/gYX6Jy,http://engt.co
1683803,9836033533288448,http://is.gd/5jB8l,http://is.gd/5jB8l,http://is.gd/5jB8l,107171260,79,http://is.gd/5jB8l,http://is.gd/5jB8l,http://is.gd
1683806,9836037345906688,http://is.gd/i1J7R,http://is.gd/i1J7R,http://is.gd/i1J7R,21478415,80,http://is.gd/i1J7R,http://is.gd/i1J7R,http://is.gd
1683833,9836098129760256,http://goo.gl/fb/t6r7w,http://goo.gl/fb/t6r7w,http://goo.gl/fb/t6r7w,28123638,84,http://goo.gl/fb/t6r7w,http://goo.gl/fb/t6r7w,http://goo.gl
1683837,9836103678820352,http://is.gd/i1Jal,http://is.gd/i1Jal,http://is.gd/i1Jal,21478415,85,http://is.gd/i1Jal,http://is.gd/i1Jal,http://is.gd
1683889,9836172549292032,http://n.itsdannyg.com/9817,http://n.itsdannyg.com/9817,http://n.itsdannyg.com/9817,189689466,87,http://n.itsdannyg.com/9817,http://n.itsdannyg.com/9817,http://n.itsdannyg.com
1683919,9836036834197504,http://bit.ly/gVFvo4,http://bit.ly/gVFvo4,http://bit.ly/gVFvo4,23244977,91,http://bit.ly/gVFvo4,http://bit.ly/gVFvo4,http://bit.ly
1683972,9836383115943936,http://bit.ly/idCJzI,http://bit.ly/idCJzI,http://bit.ly/idCJzI,103415179,94,http://bit.ly/idCJzI,http://bit.ly/idCJzI,http://bit.ly
1683986,9836404179734528,http://Archive.org,http://Archive.org,http://Archive.org,103415179,96,http://Archive.org,http://Archive.org,http://Archive.org
1684126,9836771818864641,http://bit.ly/eTGzRj,http://bit.ly/eTGzRj,http://bit.ly/eTGzRj,116973704,109,http://bit.ly/eTGzRj,http://bit.ly/eTGzRj,http://bit.ly
1684157,9836813514448896,http://is.gd/i1JcE,http://is.gd/i1JcE,http://is.gd/i1JcE,21478415,111,http://is.gd/i1JcE,http://is.gd/i1JcE,http://is.gd
1684158,9836813514448896,http://yfrog.com/j6ttl01j,http://yfrog.com/j6ttl01j,http://yfrog.com/j6ttl01j,21478415,112,http://yfrog.com/j6ttl01j,http://yfrog.com/j6ttl01j,http://yfrog.com
1684183,9836879297912833,http://bit.ly/i9pwPW,http://bit.ly/i9pwPW,http://bit.ly/i9pwPW,116973704,114,http://bit.ly/i9pwPW,http://bit.ly/i9pwPW,http://bit.ly
1684223,9837009728180224,http://is.gd/i1JCE,http://is.gd/i1JCE,http://is.gd/i1JCE,21478415,117,http://is.gd/i1JCE,http://is.gd/i1JCE,http://is.gd
1684226,9837024668295168,http://ow.ly/3hTUB,http://ow.ly/3hTUB,http://ow.ly/3hTUB,28123638,118,http://ow.ly/3hTUB,http://ow.ly/3hTUB,http://ow.ly
1684231,9837039910391808,http://bit.ly/hZRdQz,http://bit.ly/hZRdQz,http://bit.ly/hZRdQz,116973704,119,http://bit.ly/hZRdQz,http://bit.ly/hZRdQz,http://bit.ly
1684240,9837062224093184,http://is.gd/i1JEI,http://is.gd/i1JEI,http://is.gd/i1JEI,21478415,121,http://is.gd/i1JEI,http://is.gd/i1JEI,http://is.gd
1684358,9837337227821056,http://goo.gl/fb/wJMby,http://goo.gl/fb/wJMby,http://goo.gl/fb/wJMby,9567382,132,http://goo.gl/fb/wJMby,http://goo.gl/fb/wJMby,http://goo.gl
1684361,9837339962507265,http://goo.gl/fb/cmcq1,http://goo.gl/fb/cmcq1,http://goo.gl/fb/cmcq1,9567382,133,http://goo.gl/fb/cmcq1,http://goo.gl/fb/cmcq1,http://goo.gl
1684402,9837413849374720,http://ow.ly/3hTO8,http://ow.ly/3hTO8,http://ow.ly/3hTO8,28123638,138,http://ow.ly/3hTO8,http://ow.ly/3hTO8,http://ow.ly
1684423,9837434657312768,http://engt.co/iet8bL,http://engt.co/iet8bL,http://engt.co/iet8bL,103415179,142,http://engt.co/iet8bL,http://engt.co/iet8bL,http://engt.co
1684434,9837459349180416,http://is.gd/i1JK5,http://is.gd/i1JK5,http://is.gd/i1JK5,21478415,143,http://is.gd/i1JK5,http://is.gd/i1JK5,http://is.gd
1684435,9837459349180416,http://yfrog.com/jwheszj,http://yfrog.com/jwheszj,http://yfrog.com/jwheszj,21478415,144,http://yfrog.com/jwheszj,http://yfrog.com/jwheszj,http://yfrog.com
1684529,9837668653342720,http://sbux.co/gwkvpY,http://sbux.co/gwkvpY,http://sbux.co/gwkvpY,116973704,150,http://sbux.co/gwkvpY,http://sbux.co/gwkvpY,http://sbux.co
1684561,9837730619990017,http://is.gd/i1JYY,http://is.gd/i1JYY,http://is.gd/i1JYY,21478415,154,http://is.gd/i1JYY,http://is.gd/i1JYY,http://is.gd
1684581,9837752723963905,http://su.pr/4qompS,http://su.pr/4qompS,http://su.pr/4qompS,116973704,155,http://su.pr/4qompS,http://su.pr/4qompS,http://su.pr
1684605,9837798156668928,http://is.gd/i1K2p,http://is.gd/i1K2p,http://is.gd/i1K2p,21478415,157,http://is.gd/i1K2p,http://is.gd/i1K2p,http://is.gd
1684613,9837818264166400,http://www.intermodal-events.com/,http://www.intermodal-events.com/,http://www.intermodal-events.com/,150398575,159,http://www.intermodal-events.com/,http://www.intermodal-events.com/,http://www.intermodal-events.com
1684622,9837840150040576,http://bit.ly/hxKFuv,http://bit.ly/hxKFuv,http://bit.ly/hxKFuv,116973704,161,http://bit.ly/hxKFuv,http://bit.ly/hxKFuv,http://bit.ly
1684698,9838014310129664,http://bit.ly/dPdX8O,http://bit.ly/dPdX8O,http://bit.ly/dPdX8O,116973704,167,http://bit.ly/dPdX8O,http://bit.ly/dPdX8O,http://bit.ly
1684702,9838032228192256,http://is.gd/i1K3W,http://is.gd/i1K3W,http://is.gd/i1K3W,21478415,168,http://is.gd/i1K3W,http://is.gd/i1K3W,http://is.gd
1684703,9838032228192256,http://yfrog.com/0jglz0j,http://yfrog.com/0jglz0j,http://yfrog.com/0jglz0j,21478415,169,http://yfrog.com/0jglz0j,http://yfrog.com/0jglz0j,http://yfrog.com
1684842,9838263665692672,http://is.gd/i1KdF,http://is.gd/i1KdF,http://is.gd/i1KdF,21478415,176,http://is.gd/i1KdF,http://is.gd/i1KdF,http://is.gd
1684884,9838357660045312,http://is.gd/i1KhJ,http://is.gd/i1KhJ,http://is.gd/i1KhJ,21478415,178,http://is.gd/i1KhJ,http://is.gd/i1KhJ,http://is.gd
1684924,9838402912387072,http://is.gd/i1Kjd,http://is.gd/i1Kjd,http://is.gd/i1Kjd,21478415,180,http://is.gd/i1Kjd,http://is.gd/i1Kjd,http://is.gd
1684965,9838463503302656,http://is.gd/i1KkF,http://is.gd/i1KkF,http://is.gd/i1KkF,21478415,184,http://is.gd/i1KkF,http://is.gd/i1KkF,http://is.gd
1684977,9838508835340288,http://is.gd/i1Kmf,http://is.gd/i1Kmf,http://is.gd/i1Kmf,21478415,188,http://is.gd/i1Kmf,http://is.gd/i1Kmf,http://is.gd
1685099,9838685306494976,http://is.gd/i1KnR,http://is.gd/i1KnR,http://is.gd/i1KnR,21478415,201,http://is.gd/i1KnR,http://is.gd/i1KnR,http://is.gd
1685134,9838778994655232,http://is.gd/i1KtW,http://is.gd/i1KtW,http://is.gd/i1KtW,21478415,204,http://is.gd/i1KtW,http://is.gd/i1KtW,http://is.gd
1685183,9838909999546368,http://bit.ly/hKazuw,http://bit.ly/hKazuw,http://bit.ly/hKazuw,48510756,207,http://bit.ly/hKazuw,http://bit.ly/hKazuw,http://bit.ly
1685308,9839085245960194,http://bbc.in/gHejSg,http://bbc.in/gHejSg,http://bbc.in/gHejSg,19979031,217,http://bbc.in/gHejSg,http://bbc.in/gHejSg,http://bbc.in
1685404,9839289131081728,http://is.gd/i1KKQ,http://is.gd/i1KKQ,http://is.gd/i1KKQ,21478415,222,http://is.gd/i1KKQ,http://is.gd/i1KKQ,http://is.gd
1685444,9839355866648576,http://bit.ly/eWdBeO,http://bit.ly/eWdBeO,http://bit.ly/eWdBeO,28123638,224,http://bit.ly/eWdBeO,http://bit.ly/eWdBeO,http://bit.ly
1685491,9839441392705536,http://is.gd/i1KRp,http://is.gd/i1KRp,http://is.gd/i1KRp,21478415,228,http://is.gd/i1KRp,http://is.gd/i1KRp,http://is.gd
1685611,9839732934578176,http://reut.rs/g5u6tE,http://reut.rs/g5u6tE,http://reut.rs/g5u6tE,28123638,240,http://reut.rs/g5u6tE,http://reut.rs/g5u6tE,http://reut.rs
1685679,9839879127040001,http://rd.io/x/QPGNK21dOw,http://rd.io/x/QPGNK21dOw,http://rd.io/x/QPGNK21dOw,89850065,246,http://rd.io/x/QPGNK21dOw,http://rd.io/x/QPGNK21dOw,http://rd.io
1685700,9839923406315520,http://www.ejaf.com,http://www.ejaf.com,http://www.ejaf.com,77872478,249,http://www.ejaf.com,http://www.ejaf.com,http://www.ejaf.com
1685700,9839923406315520,http://www.ejaf.com,http://www.ejaf.com,http://www.ejaf.com,77872478,9720,http://www.ejaf.com,http://www.ejaf.com,http://www.ejaf.com
1685701,9839923406315520,http://www.macaidsfund.org/,http://www.macaidsfund.org/,http://www.macaidsfund.org/,77872478,250,http://www.macaidsfund.org/,http://www.macaidsfund.org/,http://www.macaidsfund.org
1685701,9839923406315520,http://www.macaidsfund.org/,http://www.macaidsfund.org/,http://www.macaidsfund.org/,77872478,9721,http://www.macaidsfund.org/,http://www.macaidsfund.org/,http://www.macaidsfund.org
1685706,9839961406705665,http://n.itsdannyg.com/9818,http://n.itsdannyg.com/9818,http://n.itsdannyg.com/9818,189689466,251,http://n.itsdannyg.com/9818,http://n.itsdannyg.com/9818,http://n.itsdannyg.com
1685835,9840275832705024,http://is.gd/i1Ll1,http://is.gd/i1Ll1,http://is.gd/i1Ll1,21478415,261,http://is.gd/i1Ll1,http://is.gd/i1Ll1,http://is.gd
1685899,9840434616471553,http://bit.ly/gTZHc3,http://bit.ly/gTZHc3,http://bit.ly/gTZHc3,28123638,264,http://bit.ly/gTZHc3,http://bit.ly/gTZHc3,http://bit.ly
