Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30
dont,food,las,happy,wikileaks,tcot,frm,sobre,year,wikileaks,man,por,cup,free,dont,lan,julian,central,nuclear,china,dont,people,wikileaks,des,online,green,happy,cup,lol,today
life,safety,hoy,love,assange,unemployed,song,things,financial,die,economy,del,host,facebook,day,burada,news,mais,fears,reuters,news,join,presidente,december,live,report,today,video,good,man
great,obama,por,dont,julian,americans,hav,james,federal,den,day,wikileaks,england,fake,years,ankarallar,assange,hanukkah,pakistan,public,santo,times,tropas,internet,assange,politics,xmas,qatar,things,time
day,nice,para,jim,bien,democracy,cont,lebron,banks,ber,jobs,las,fifa,today,news,balad,killed,pesquisa,bbc,news,cubs,countries,eua,latest,julian,bloomberg,watch,england,awesome,great
time,girl,personas,talk,free,lost,lol,worker,firms,helmut,lol,fue,worldcup,market,agree,bazen,state,grand,fifa,leaving,ron,fight,vida,site,news,pop,video,bid,thing,wikileaks
love,senate,mejor,great,omg,tlot,assange,morning,answers,paris,bmw,ser,good,final,win,beklediim,cable,das,internet,stops,sign,great,nada,google,good,shaking,time,cont,lot,wall
december,overhaul,zona,word,son,ocra,wikileaks,fucking,art,nach,expected,mundial,live,twitter,coffee,bile,wikileaks,salrio,open,family,song,shit,entre,kind,today,soda,stand,jobless,tory,rise
fun,dec,hasta,awareness,buenos,rich,founder,bloody,work,bana,fewer,todos,life,starbucks,enter,bir,business,para,hosting,missing,block,deadly,film,shop,chat,cities,hosting,claims,yep,check
support,love,para,hiv,iphone,caucus,video,tweets,design,aaaaa,november,una,round,days,travel,budur,today,airport,wikileaks,forget,senators,israel,twitter,sida,morning,wikileaks,christmas,russia,bring,year
happy,prevent,aos,monsters,delivered,politics,program,radio,breakdown,arkasnda,rate,scans,gon,computers,follow,bugn,wikileaks,big,rejects,parents,music,change,site,secrets,bbc,cont,newest,short,love,twitter
lol,law,realmente,tweets,hurry,pay,state,altogether,loans,basn,jobless,dental,bid,android,cup,evde,putin,boxee,reuters,beg,food,major,santa,strong,snow,dan,holiday,win,idea,death
friday,perfect,como,htt,tous,real,una,boa,europe,ben,rise,editor,morning,tan,delicious,formunda,plan,ceo,reports,biological,looked,mothers,como,business,cablegate,tak,man,week,time,police
media,game,eso,raise,dias,bring,court,entrevista,nowplaying,burada,stock,httpowlyiz,david,real,hands,gerekir,amazon,demo,chief,boy,player,company,mais,contre,judge,inside,hanukkah,leaked,cats,interview
hope,person,franca,day,bonne,american,business,gabeira,walk,diyor,love,letters,sepp,prince,thing,hamle,daily,experience,koreas,kyron,rip,birth,mesmo,tracking,read,reduce,article,buy,girl,internet
social,dont,este,feel,vida,tax,president,muito,peace,duydunuz,kill,offices,people,ground,fine,herkes,stories,futile,south,oregon,fame,hivaids,pra,things,weather,war,nyc,dealbook,hey,america
work,arms,sus,birthday,police,cuts,climate,punch,google,ergenekon,dec,radiation,football,common,black,hodjam,cablegate,media,set,country,hall,wikileaks,adianta,war,set,wind,joke,drinkmaker,husband,record
yeah,denies,una,learn,city,bush,left,rio,ipad,hit,live,teeth,man,fell,ago,iniyor,release,resistance,showdown,prominent,legend,dead,alheia,spain,wikileaks,forces,photo,pepsi,spot,case
quote,hope,toda,guess,lay,poverty,step,big,duck,iyilik,german,cups,cups,reuters,obama,kalr,latest,shufflr,fcc,artist,real,telegraph,avano,president,coverage,today,naman,russian,twitter,paulo
amazing,leaked,dar,post,people,nuclear,swedish,facebook,fight,koruyorum,open,quote,told,israel,favorite,kapamay,vote,tctv,great,expansion,listen,minutes,beleza,house,holds,bang,worldwide,wikileaks,people,big
pretty,question,manera,aids,pour,palin,guardian,cup,snowball,kskanmas,view,bag,nasa,video,orlando,kapansa,england,tvs,web,talks,person,review,bom,boss,hope,video,ladies,head,learn,daily
baby,man,man,crazy,mas,sarah,amazon,qatar,dang,millet,eurusd,classic,russian,forest,story,kesin,post,grammy,account,sleep,called,press,bonitas,big,heavy,emissions,switch,martin,bad,dont
aids,boi,free,twitter,por,today,high,ready,lame,noolmu,forex,uma,russia,coming,photo,kimsenin,police,bros,webhosting,day,cold,wife,cadeia,rate,gates,ports,bad,big,clean,sobre
blog,doesnt,living,care,wanted,bills,change,maiores,life,salk,frankfurt,lindo,confirmed,caught,energy,kmaz,tax,chem,fast,weeks,lmao,days,conflito,france,night,reward,white,case,action,japan
night,collins,art,cut,founder,feel,denies,mundial,mode,sisterm,infineon,rio,bothered,sun,soldiers,konujmak,rhett,theyve,moving,fed,true,woman,creio,season,financial,ships,fight,afghan,view,mobile
thursday,reason,prison,tonight,south,senate,final,por,nabbit,stme,bourse,godard,sexy,accounts,love,mahkemeler,walter,bora,turn,reason,time,pic,curvas,sur,cables,assuno,bar,lovely,week,economic
earth,time,web,guys,lol,block,aforisme,haiti,officially,varm,left,acontece,game,burger,equal,pakistanda,prison,buscar,cameras,court,ass,paralyzed,esmo,airport,embassy,fbio,gon,networks,death,bull
people,care,britain,guy,force,scared,andes,china,real,yamyam,accident,aeroporto,qatar,ford,lol,saldr,running,padoca,eastbound,climate,dumb,walk,fosse,gatwick,day,hein,issues,book,disney,google
twitter,leader,chrome,americas,friedman,cuts,appeal,ano,collection,yle,highway,amrica,russia,gaining,read,site,story,thomas,issues,cop,point,buy,fuador,pour,times,qual,friends,campaign,fla,people
close,mumu,listening,bush,air,gop,bareng,diz,delinquent,zppperrrr,stranded,atualizado,nyt,hour,aids,ulan,advisor,onde,westbound,coal,fuck,study,fugitivo,ses,small,aids,bloody,family,sees,trillion
cold,setter,space,national,crimes,dems,bondan,adoo,payday,bej,nyt,botafogo,games,jones,activism,yava,canadian,serve,business,force,love,forest,gergia,algorithm,attacks,day,forget,real,town,crisis
stuff,snack,snipes,taxpayers,dangerous,free,defenders,alemo,scam,deme,hours,brasileira,fuck,lager,campuses,yavjaklara,harper,para,economy,vote,people,lakes,httpowlyi,bad,friends,small,gps,love,court,banks
live,style,wesley,gay,defrocked,issue,dipilih,analisa,telephone,hac,trucks,churchill,watch,larry,cnet,yeni,kill,ter,engolir,favorite,thing,tcot,minhas,bientt,manchester,special,hangover,study,youll,incredible
tom,tassles,ofrecen,washington,fighters,heart,dragqueen,aplaudida,amazing,jebnem,markets,completa,limited,malware,comcast,yklendi,relations,abre,ento,movie,agree,arrives,modelos,customers,thinking,pakistan,jetlagged,school,remember,girl
stores,titty,ser,fashion,flat,party,dukun,apoio,editions,minare,metro,convidada,insurance,pers,critical,yklyooooo,source,aquilo,era,basketball,lol,assistance,nele,dilbert,cyber,atas,jewish,talk,oldham,good
rage,topchef,cool,win,groping,republican,gak,atlntica,launching,answer,payrolls,dessas,day,profits,deluzio,risk,writing,assumir,explicado,bball,passing,battles,pedem,dpistage,chinese,banget,major,wow,byelection,apple
damn,trend,nowplaying,people,half,debt,gayus,baixo,nanapi,confusing,rises,experincia,discusses,raising,disease,picks,years,caminho,mido,beach,gon,struggle,retuitam,mossad,dont,bikin,mention,tarp,clamed,blowing
scott,wan,heat,aunt,httpread,hope,gingrich,bienal,oda,famous,required,jeanluc,british,risks,fallen,chairmans,cup,coisas,passava,beer,shit,ambulance,rssia,read,john,cair,trousers,duty,fools,economy
power,watching,actualic,challenge,jet,usa,gubernur,bilhes,ptflive,hilton,high,joo,search,rule,faq,dick,point,confuso,qdo,bitching,reason,drive,seguidores,renforc,mccain,dana,uksnow,play,griffin,security
mad,big,advance,coffee,jokes,account,httptlgdcv,casseta,tobu,letter,report,leiam,read,smoke,growing,hip,firm,convite,save,breadth,phone,drivers,segundo,services,watch,dapat,contact,host,mps,sgp
remember,house,algo,duh,korea,peter,httptlgdpi,cavaliers,cars,mess,market,liv,form,surley,honored,candidate,american,eliot,sportsbiz,chance,breaking,east,size,tre,google,dari,casting,web,parties,snoop
longer,bingo,band,engaging,manhunt,jobs,httptlgdvi,chefe,graphics,myth,breaking,obrigada,national,watch,level,cheney,time,estar,termmetros,documents,dream,gusty,ter,tte,clear,digugat,chicago,review,peer,tcot
wait,chicks,basel,fight,nations,compromise,ilmu,concurso,ooo,pronounced,lost,passar,security,hulu,nyt,dementia,reporter,fazer,vida,drank,ribs,praise,drama,vtran,pentagon,dpd,companies,add,phil,assange
answering,facilitate,boards,howdy,neighbour,tea,indonesias,confira,oooo,quick,car,ptrabalhar,beckham,mobile,pause,implant,board,fizemos,abuso,emergency,analogies,rain,star,accuse,federal,dpp,dallas,airport,publicity,win
breakfast,gangster,brava,hunger,northern,bastards,islamic,consumo,standout,quiz,moves,quando,william,windows,reflect,pulled,school,frase,acho,hardcore,brothers,safely,bactria,activists,life,hollywood,extras,bieber,racial,app
phone,gchq,buenas,inbend,obama,color,itu,cria,place,sixletter,track,revista,force,ditches,remains,race,dekalb,gerdau,aores,icarly,clueless,slippery,por,arrest,email,hukumnamun,hired,brought,shouldnt,heart
snow,girls,canned,model,priests,currency,jasa,critica,coldest,word,congress,rolling,job,droid,signal,rnc,bank,meu,bicos,ipsycho,cosign,snowy,assuno,busts,african,hunting,info,cares,standing,popular
deal,pipes,comiendo,sandy,round,deficits,jogja,defende,harry,green,created,sacola,country,keepin,southworth,yeah,books,ministrio,cavaco,measures,deep,surprise,fbio,criminal,testify,ini,lunch,class,tension,share
anger,prayed,comisin,yeah,seoul,del,jogjakarta,depois,phoenix,left,shut,stones,pay,personal,spat,fighting,selling,nega,contra,mysterious,define,tribute,das,detainess,americans,isu,ice,doha,usual,uma
spin,sold,convertido,india,sex,earmarks,journey,descansam,potter,study,ahead,sua,slowly,planex,strength,good,website,pessoal,lindo,scary,difficult,israeli,ser,footage,benefits,jakarta,hosting,glamorous,woolas,start
hard,technology,crecido,aids,silenced,expense,keduanya,desenhos,university,lakes,futures,tosto,birthday,icon,time,lol,department,qualquer,mesmo,sic,expect,pioneers,dlar,forging,questions,korban,phone,isinbayeva,clear,free
