,UserId,FinalInterests
0,742143,"[0.24766266345977783, 0.5187856554985046, 0.3226844072341919, 0.555988609790802, 0.16928011178970337, 0.21911108493804932, 0.6740901470184326, 0.9182062745094299, 0.26983773708343506, 0.738709032535553, 0.29158496856689453, 0.6464124917984009, 0.549781858921051, 0.8711850047111511, 0.7343785166740417, 0.26903849840164185, 0.2578052878379822, 0.0759231448173523, 0.42603158950805664, 0.24308085441589355, 0.18056440353393555, 0.10500627756118774, 0.5377786159515381, 0.8193418383598328, 0.5998165607452393, 0.6376556754112244, 0.5298444628715515, 0.27583301067352295, 0.5391114950180054, 0.10679852962493896]"
1,800594,"[0.8292755484580994, 0.3957098722457886, 0.33184003829956055, 0.0014716386795043945, 0.7268564105033875, 0.2673282027244568, 0.8433836102485657, 0.6252171993255615, 0.7725744843482971, 0.7917925715446472, 0.8386391997337341, 0.7784905433654785, 0.18055182695388794, 0.5489380359649658, 0.14552104473114014, 0.33342278003692627, 0.7379680871963501, 0.3649778366088867, 0.5772294402122498, 0.9743736386299133, 0.9070988297462463, 0.2566615343093872, 0.418173611164093, 0.9850912094116211, 0.9107237458229065, 0.3501394987106323, 0.8570777773857117, 0.7894453406333923, 0.9626321792602539, 0.44500547647476196]"
2,816653,"[0.7039092183113098, 0.5801517963409424, 0.42177557945251465, 0.6455495953559875, 0.1295384168624878, 0.6027129888534546, 0.32865267992019653, 0.4682875871658325, 0.036072731018066406, 0.5413030385971069, 0.897678554058075, 0.12708860635757446, 0.46569472551345825, 0.9010802507400513, 0.4715898036956787, 0.8746486902236938, 0.8930898904800415, 0.8702443838119507, 0.7648815512657166, 0.025079190731048584, 0.14115095138549805, 0.7991852760314941, 0.9143450856208801, 0.8295203447341919, 0.844196617603302, 0.31320464611053467, 0.523871660232544, 0.5561980605125427, 0.8310983777046204, 0.07176673412322998]"
3,961201,"[0.5216374397277832, 0.4119839668273926, 0.1473293900489807, 0.7193085551261902, 0.7790539860725403, 0.6702653169631958, 0.5552580952644348, 0.9224424958229065, 0.35242027044296265, 0.5367021560668945, 0.9632700085639954, 0.3678344488143921, 0.11193764209747314, 0.148151695728302, 0.38624173402786255, 0.19505804777145386, 0.8271763324737549, 0.8050204515457153, 0.07320022583007812, 0.17715460062026978, 0.6806728839874268, 0.7562691569328308, 0.4915451407432556, 0.637718915939331, 0.11569470167160034, 0.7628142237663269, 0.3561304211616516, 0.2191280722618103, 0.42326754331588745, 0.3847244381904602]"
4,1934931,"[0.01592111587524414, 0.6141206622123718, 0.6691268086433411, 0.7487625479698181, 0.35647112131118774, 0.21093511581420898, 0.44308990240097046, 0.2936493158340454, 0.9077642560005188, 0.4877113699913025, 0.7040216326713562, 0.8092114925384521, 0.22591239213943481, 0.6462246775627136, 0.1649220585823059, 0.34027737379074097, 0.0874292254447937, 0.5759703516960144, 0.29353266954421997, 0.015392839908599854, 0.7142390608787537, 0.395910382270813, 0.4124535322189331, 0.9143688082695007, 0.6777094602584839, 0.8256081342697144, 0.139967143535614, 0.5433316826820374, 0.8906671404838562, 0.6344955563545227]"
5,4970411,"[0.375690758228302, 0.7990279793739319, 0.7659444808959961, 0.7420091032981873, 0.5366575121879578, 0.5425955653190613, 0.9448471069335938, 0.6745390295982361, 0.1767362356185913, 0.8022072911262512, 0.2668837308883667, 0.5213679075241089, 0.9178109169006348, 0.49907898902893066, 0.0011704564094543457, 0.5663744211196899, 0.38955360651016235, 0.5816048383712769, 0.6878615617752075, 0.9340693354606628, 0.2777637839317322, 0.9923588037490845, 0.11075913906097412, 0.9936684370040894, 0.7857709527015686, 0.7293543219566345, 0.5838007926940918, 0.8128836750984192, 0.40119534730911255, 0.6248329877853394]"
6,6980622,"[0.144811749458313, 0.6104086637496948, 0.43092215061187744, 0.5182181596755981, 0.06441903114318848, 0.8271152377128601, 0.9277090430259705, 0.7294415831565857, 0.9458632469177246, 0.17751502990722656, 0.8961109519004822, 0.7388732433319092, 0.37295371294021606, 0.2118074893951416, 0.016508877277374268, 0.8143796324729919, 0.09077447652816772, 0.5786634683609009, 0.711687445640564, 0.45679861307144165, 0.0549892783164978, 0.7945834398269653, 0.13015788793563843, 0.09682959318161011, 0.08212137222290039, 0.628481924533844, 0.687552809715271, 0.33392083644866943, 0.7528504133224487, 0.5358031988143921]"
7,9466892,"[0.12999731302261353, 0.035695433616638184, 0.06931447982788086, 0.9813026189804077, 0.5272009968757629, 0.13008344173431396, 0.25506240129470825, 0.9214175343513489, 0.5107361078262329, 0.0036906003952026367, 0.6697927713394165, 0.8394337892532349, 0.9423857927322388, 0.8320096135139465, 0.8314423561096191, 0.0046539306640625, 0.4105820059776306, 0.5755230784416199, 0.3699677586555481, 0.2649213671684265, 0.8804038763046265, 0.983148455619812, 0.9053922295570374, 0.24340349435806274, 0.5680201053619385, 0.06554490327835083, 0.26523542404174805, 0.24621695280075073, 0.3026670813560486, 0.5989338159561157]"
8,9522502,"[0.4163022041320801, 0.5566880106925964, 0.44771337509155273, 0.987784743309021, 0.004469871520996094, 0.4695335030555725, 0.8495063781738281, 0.23929846286773682, 0.18686562776565552, 0.4409557580947876, 0.4565883278846741, 0.5142468810081482, 0.18763262033462524, 0.19348150491714478, 0.11744803190231323, 0.4546557664871216, 0.9690133929252625, 0.27866703271865845, 0.9284626841545105, 0.04547649621963501, 0.9726232886314392, 0.3350331783294678, 0.24988877773284912, 0.5527183413505554, 0.34690308570861816, 0.9957863092422485, 0.8250361084938049, 0.3434978723526001, 0.976127564907074, 0.11982083320617676]"
9,9567382,"[0.13480091094970703, 0.3936493992805481, 0.4364001750946045, 0.3345109224319458, 0.8807717561721802, 0.9948982000350952, 0.22484475374221802, 0.16995304822921753, 0.3920913338661194, 0.6078758835792542, 0.4458264112472534, 0.7604836225509644, 0.785627543926239, 0.7724345922470093, 0.31984663009643555, 0.01709848642349243, 0.8980374336242676, 0.9241460561752319, 0.029833436012268066, 0.6180149912834167, 0.7704236507415771, 0.00888293981552124, 0.04282909631729126, 0.6183287501335144, 0.5836701393127441, 0.39424216747283936, 0.49068111181259155, 0.452778160572052, 0.10152751207351685, 0.6592937111854553]"
