,UserId,FinalInterests
0,742143,"[0.2280094027519226, 0.5751094818115234, 0.07383418083190918, 0.30273985862731934, 0.7694483399391174, 0.17556089162826538, 0.7779823541641235, 0.8013197779655457, 0.6422331929206848, 0.20324832201004028, 0.8049693703651428, 0.5425859093666077, 0.9297840595245361, 0.15169072151184082, 0.27715814113616943, 0.3612136244773865, 0.03861725330352783, 0.7185316681861877, 0.66050124168396, 0.8860043883323669, 0.7450234889984131, 0.7545375823974609, 0.8130096197128296, 0.12977415323257446, 0.22696208953857422, 0.6138164401054382, 0.14525091648101807, 0.6562637090682983, 0.8625287413597107, 0.7443417906761169]"
1,800594,"[0.5328457355499268, 0.6092283725738525, 0.5642295479774475, 0.26452213525772095, 0.13383281230926514, 0.1924506425857544, 0.4221686124801636, 0.4745163917541504, 0.7624900937080383, 0.49787217378616333, 0.2017209529876709, 0.5657715201377869, 0.705176055431366, 0.4477660059928894, 0.13583028316497803, 0.8707037568092346, 0.8753377795219421, 0.18712127208709717, 0.6766095161437988, 0.5901806950569153, 0.4903373122215271, 0.4068116545677185, 0.7507627010345459, 0.8393380641937256, 0.46910572052001953, 0.8105382323265076, 0.010467469692230225, 0.191292405128479, 0.11257249116897583, 0.18676912784576416]"
2,816653,"[0.6603763699531555, 0.13951915502548218, 0.8765504360198975, 0.25592297315597534, 0.10588037967681885, 0.9222998023033142, 0.9600265622138977, 0.9947925806045532, 0.8249129056930542, 0.831915020942688, 0.16794991493225098, 0.8163729310035706, 0.7671402096748352, 0.5802859663963318, 0.7954888939857483, 0.9332219958305359, 0.7073889970779419, 0.909191906452179, 0.33981436491012573, 0.5448377728462219, 0.8476012945175171, 0.7723023891448975, 0.8010274767875671, 0.11298960447311401, 0.9656555652618408, 0.5827662348747253, 0.5758443474769592, 0.9572233557701111, 0.6530802845954895, 0.8729804754257202]"
3,961201,"[0.022437095642089844, 0.6007567644119263, 0.017109990119934082, 0.7471053600311279, 0.202337384223938, 0.5992101430892944, 0.5758364796638489, 0.40557730197906494, 0.7574833035469055, 0.8501448631286621, 0.38128024339675903, 0.0665859580039978, 0.25999730825424194, 0.2259247899055481, 0.728710949420929, 0.8049244284629822, 0.2767133116722107, 0.1409374475479126, 0.4752079248428345, 0.730108916759491, 0.7127886414527893, 0.005034446716308594, 0.26170533895492554, 0.22460997104644775, 0.7742286920547485, 0.418218731880188, 0.6796455979347229, 0.5173727869987488, 0.7955179810523987, 0.9109240174293518]"
4,1934931,"[0.6388522386550903, 0.9038794040679932, 0.48347437381744385, 0.5004740953445435, 0.7822316884994507, 0.5100377202033997, 0.3628433346748352, 0.21461141109466553, 0.3623291850090027, 0.8260297775268555, 0.5860768556594849, 0.7631205320358276, 0.07599884271621704, 0.4726024866104126, 0.1757831573486328, 0.5871288776397705, 0.5306828022003174, 0.09326404333114624, 0.7265898585319519, 0.31464630365371704, 0.2093513011932373, 0.377133846282959, 0.9101741909980774, 0.015525400638580322, 0.46782463788986206, 0.1065855622291565, 0.500098466873169, 0.8930238485336304, 0.4389074444770813, 0.8468104004859924]"
5,4970411,"[0.5104239583015442, 0.7836087346076965, 0.07165205478668213, 0.7740579843521118, 0.46911096572875977, 0.5447413325309753, 0.7269155383110046, 0.372989296913147, 0.7653013467788696, 0.40820246934890747, 0.5965603590011597, 0.6316518783569336, 0.1489298939704895, 0.5554826259613037, 0.26275360584259033, 0.3378978371620178, 0.3313630223274231, 0.3041048049926758, 0.4365503191947937, 0.4904112219810486, 0.3866254687309265, 0.6224223375320435, 0.5386626720428467, 0.0401914119720459, 0.9360365867614746, 0.7472327947616577, 0.06701105833053589, 0.5378987193107605, 0.3902708888053894, 0.0550042986869812]"
6,6980622,"[0.16445648670196533, 0.734350323677063, 0.8980928063392639, 0.14229923486709595, 0.9409056305885315, 0.9681675434112549, 0.6324397921562195, 0.7473002076148987, 0.23334640264511108, 0.32756608724594116, 0.9786987900733948, 0.42468249797821045, 0.3572143316268921, 0.497438907623291, 0.15234243869781494, 0.4569401741027832, 0.391180157661438, 0.327223539352417, 0.6065312623977661, 0.18586349487304688, 0.13105374574661255, 0.6282639503479004, 0.14159435033798218, 0.10733157396316528, 0.7972994446754456, 0.7868543863296509, 0.04754060506820679, 0.21243023872375488, 0.7285720109939575, 0.9873527884483337]"
7,9466892,"[0.3104276657104492, 0.19796162843704224, 0.028134286403656006, 0.39800429344177246, 0.3342927098274231, 0.21834594011306763, 0.74115389585495, 0.296519935131073, 0.14119666814804077, 0.3905782699584961, 0.736113965511322, 0.4881015419960022, 0.7667877078056335, 0.9083588719367981, 0.5629097819328308, 0.6067487597465515, 0.9069518446922302, 0.6934998631477356, 0.40199124813079834, 0.8569818735122681, 0.4359159469604492, 0.2564833164215088, 0.2140917181968689, 0.5641552209854126, 0.5561333894729614, 0.3417341709136963, 0.4720216393470764, 0.21659189462661743, 0.989795446395874, 0.2829943299293518]"
8,9522502,"[0.9085822105407715, 0.6385591626167297, 0.9130525588989258, 0.23064875602722168, 0.7472721338272095, 0.3179253339767456, 0.9449713826179504, 0.9628565311431885, 0.44626158475875854, 0.004876673221588135, 0.7129239439964294, 0.8374622464179993, 0.4504651427268982, 0.2501029968261719, 0.476184606552124, 0.3668661117553711, 0.015733659267425537, 0.44806915521621704, 0.8091942667961121, 0.1721619963645935, 0.5104113221168518, 0.7176890969276428, 0.8131955862045288, 0.6088553071022034, 0.40006881952285767, 0.5548290610313416, 0.5983678102493286, 0.7320575714111328, 0.7433809041976929, 0.5974782109260559]"
9,9567382,"[0.11908340454101562, 0.9522833824157715, 0.027880728244781494, 0.5831934213638306, 0.8192234635353088, 0.7505014538764954, 0.9574782252311707, 0.3598998785018921, 0.6146032810211182, 0.4762371778488159, 0.7682340741157532, 0.10868597030639648, 0.009549915790557861, 0.2885996699333191, 0.6904878616333008, 0.8479371070861816, 0.45819807052612305, 0.5120646953582764, 0.4098936915397644, 0.4486957788467407, 0.5938894748687744, 0.8815551400184631, 0.2887592911720276, 0.0785679817199707, 0.7769562602043152, 0.8870916366577148, 0.334616482257843, 0.46293777227401733, 0.6819837689399719, 0.8590506911277771]"
10,11716022,"[0.6165794134140015, 0.5890899300575256, 0.9550684690475464, 0.01616460084915161, 0.5309005975723267, 0.1770726442337036, 0.7411051392555237, 0.7166450619697571, 0.6564002633094788, 0.20047909021377563, 0.1925686001777649, 0.6003240942955017, 0.29249489307403564, 0.94383704662323, 0.4500461220741272, 0.5351890325546265, 0.8108199238777161, 0.18355894088745117, 0.6265091896057129, 0.2980731129646301, 0.302343487739563, 0.03870856761932373, 0.9528414011001587, 0.9780405163764954, 0.01124340295791626, 0.07840001583099365, 0.6648088097572327, 0.9694668650627136, 0.06513392925262451, 0.4210318922996521]"
11,11966392,"[0.8830226063728333, 0.055874526500701904, 0.034082114696502686, 0.22872573137283325, 0.47621262073516846, 0.4883076548576355, 0.0013238787651062012, 0.49651509523391724, 0.9635047316551208, 0.12544918060302734, 0.5828471779823303, 0.9834872484207153, 0.5650616884231567, 0.017382383346557617, 0.25810950994491577, 0.7123180627822876, 0.2449628710746765, 0.959743082523346, 0.2741427421569824, 0.4526151418685913, 0.320626437664032, 0.18792778253555298, 0.7708771824836731, 0.79999840259552, 0.6085492968559265, 0.1979236602783203, 0.5100087523460388, 0.6983503103256226, 0.6997774243354797, 0.5758154392242432]"
12,14048781,"[0.5591067671775818, 0.22823888063430786, 0.873954176902771, 0.7710099220275879, 0.9097346067428589, 0.9460906386375427, 0.5538678765296936, 0.8852484822273254, 0.3171784281730652, 0.4643782377243042, 0.14965897798538208, 0.12999480962753296, 0.8729936480522156, 0.1786382794380188, 0.932049036026001, 0.5874894857406616, 0.6600255966186523, 0.9340940713882446, 0.43796998262405396, 0.393932044506073, 0.10868608951568604, 0.8909004926681519, 0.6972745656967163, 0.03397184610366821, 0.718720018863678, 0.5581235885620117, 0.3177710175514221, 0.08519148826599121, 0.6788932681083679, 0.31732332706451416]"
13,14208586,"[0.30723607540130615, 0.9593015909194946, 0.4199262261390686, 0.6397066116333008, 0.12229740619659424, 0.09936445951461792, 0.4926256537437439, 0.761037290096283, 0.10501831769943237, 0.34299933910369873, 0.6974762082099915, 0.05751204490661621, 0.10844963788986206, 0.5169152021408081, 0.5147057175636292, 0.44051456451416016, 0.24992352724075317, 0.7909330129623413, 0.6966782212257385, 0.10263270139694214, 0.5837443470954895, 0.18655657768249512, 0.4130163788795471, 0.5211964845657349, 0.310766339302063, 0.523283839225769, 0.906690776348114, 0.435782790184021, 0.0685235857963562, 0.7623203992843628]"
14,14853523,"[0.24060648679733276, 0.47571539878845215, 0.20013844966888428, 0.9444231390953064, 0.6668685674667358, 0.13761883974075317, 0.9617144465446472, 0.6630449295043945, 0.2067524790763855, 0.9293423891067505, 0.9265600442886353, 0.8051975965499878, 0.6374661326408386, 0.9064623117446899, 0.5297462344169617, 0.7178968191146851, 0.3367936611175537, 0.9131561517715454, 0.9048187732696533, 0.517632782459259, 0.5228729248046875, 0.7000408172607422, 0.3598179817199707, 0.033269405364990234, 0.24593836069107056, 0.14793145656585693, 0.031371891498565674, 0.9469269514083862, 0.29202377796173096, 0.2750503420829773]"
