index,UserId,TimeStamp,Text,Extracted_Links,Tokens,TopicInterests
10,742143,0,Man Utd defeat surprises Ferguson http://bbc.in/gILNT5 Hamilton pleased by 2011 car test http://bbc.in/fSUBWF US 'kill team soldier' in court http://bbc.in/fMWQLn 'Literate' Brazilian clown cleared for congress http://bbc.in/dJkG8O,"['http://bbc.in/gILNT5', 'http://bbc.in/fSUBWF', 'http://bbc.in/fMWQLn', 'http://bbc.in/dJkG8O']","['man', 'utd', 'defeat', 'surprises', 'ferguson', 'hamilton', 'pleased', 'car', 'test', 'kill', 'team', 'soldier', 'court', 'literate', 'brazilian', 'clown', 'cleared', 'congress']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.979, 0.0, 0.0]"
11,742143,1,Election clashes in Ivory Coast http://bbc.in/gn5MCc Aid worker killed by US grenade http://bbc.in/e8LRpW,"['http://bbc.in/gn5MCc', 'http://bbc.in/e8LRpW']","['election', 'clashes', 'ivory', 'coast', 'aid', 'worker', 'killed', 'grenade']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,742143,2,India court okays Dalit icon park http://bbc.in/e4EkWL,['http://bbc.in/e4EkWL'],"['india', 'court', 'okays', 'dalit', 'icon', 'park']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,800594,0,"I'm officially in Lame Duck Real Life Mode. Nothing getting done until next year, dang nabbit.",[],"['officially', 'lame', 'duck', 'real', 'life', 'mode', 'year', 'dang', 'nabbit']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,800594,1,"Yes, Kiddies, the upcoming 112th Congress is going to suck: http://huff.to/edv4jl",['http://huff.to/edv4jl'],"['kiddies', 'upcoming', 'congress', 'suck']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,800594,2,RT @JeffreyFeldman: Poll: most oppose GOP tax plan (ergo: Dems have NO CHOICE but to cave) http://bit.ly/e7t3TK #head #wall #head #wall,['http://bit.ly/e7t3TK'],"['poll', 'oppose', 'gop', 'tax', 'plan', 'ergo', 'dems', 'choice', 'cave', 'head', 'wall', 'head', 'wall']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.971, 0.0]"
24,816653,0,Record-Breaking Cyber Monday Surpasses $1 Billion In U.S. Online Spending  http://tcrn.ch/fIrCpS by @leenarao,['http://tcrn.ch/fIrCpS'],"['cyber', 'monday', 'surpasses', 'billion', 'online', 'spending']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.939]"
25,816653,1,"Shufflr TV's Three-Screen Experience: The Grand Central Demo (TCTV) http://tcrn.ch/enVXuJ by @erickschonfeld Boxee CEO To Big Media:  ""Resistance Is Futile"" http://tcrn.ch/fJvYmf by @erickschonfeld","['http://tcrn.ch/enVXuJ', 'http://tcrn.ch/fJvYmf']","['shufflr', 'tvs', 'experience', 'grand', 'central', 'demo', 'tctv', 'boxee', 'ceo', 'big', 'media', 'resistance', 'futile']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.971, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,816653,2,The Rise Of The Gentleman Hacker http://tcrn.ch/hEFNfJ by @arrington,['http://tcrn.ch/hEFNfJ'],"['rise', 'gentleman', 'hacker']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.886, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,961201,0,"Sida : le dépistage va bientôt être renforcé en France http://ping.fm/beBX0 Un vétéran des services secrets à la tête du Mossad  http://ping.fm/cr3Ip #Dilbert ""Frienditute"" http://tinyurl.com/2da8c42 RT @google: Being bad to your customers is bad for business. Read about our latest algorithm enhancement: http://goo.gl/KmlRv","['http://ping.fm/beBX0', 'http://ping.fm/cr3Ip', 'http://tinyurl.com/2da8c42', 'http://goo.gl/KmlRv']","['sida', 'dpistage', 'bientt', 'tre', 'renforc', 'france', 'vtran', 'des', 'services', 'secrets', 'tte', 'mossad', 'dilbert', 'bad', 'customers', 'bad', 'business', 'read', 'latest', 'algorithm']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.981, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
