,UserId,FinalInterests
0,13,"[0.0710325837135315, 0.5794723033905029, 0.5520234704017639, 0.3427078127861023, 0.8515955805778503, 0.7047128081321716, 0.2427884340286255, 0.2181033492088318, 0.02103114128112793, 0.7292794585227966, 0.9702750444412231, 0.34993278980255127, 0.6836668848991394, 0.16545003652572632, 0.6428343057632446, 0.39248281717300415, 0.5922441482543945, 0.7775911688804626, 0.4488065838813782, 0.42023277282714844, 0.12574410438537598, 0.19895493984222412, 0.6588674783706665, 0.7252655029296875, 0.8324563503265381, 0.32452499866485596, 0.3651692271232605, 0.03853124380111694, 0.04183340072631836, 0.7710058093070984]"
1,3840,"[0.19269824028015137, 0.0665884017944336, 0.9278805255889893, 0.6532562375068665, 0.817865788936615, 0.5730984807014465, 0.8272592425346375, 0.15216809511184692, 0.5935100317001343, 0.6288477182388306, 0.43655627965927124, 0.16350001096725464, 0.21380555629730225, 0.22956997156143188, 0.02403026819229126, 0.8613213300704956, 0.9161078929901123, 0.8586010336875916, 0.3368588089942932, 0.004564166069030762, 0.5781310796737671, 0.5576764345169067, 0.08308357000350952, 0.3792576789855957, 0.315599262714386, 0.2586067318916321, 0.16831594705581665, 0.6348665356636047, 0.1923251748085022, 0.35329878330230713]"
2,13076,"[0.30205291509628296, 0.778835654258728, 0.34023016691207886, 0.9127923846244812, 0.40997159481048584, 0.36908870935440063, 0.28881704807281494, 0.6976257562637329, 0.03156477212905884, 0.28711438179016113, 0.04430729150772095, 0.7033633589744568, 0.6353725790977478, 0.7578585743904114, 0.8909222483634949, 0.943175196647644, 0.37216436862945557, 0.3480542302131653, 0.2138785719871521, 0.17914104461669922, 0.6893774271011353, 0.9782349467277527, 0.2724783420562744, 0.35297441482543945, 0.3300238847732544, 0.048302531242370605, 0.7596496939659119, 0.6062344908714294, 0.05755054950714111, 0.9120645523071289]"
3,30973,"[0.6509442329406738, 0.04992443323135376, 0.8262718915939331, 0.5853649377822876, 0.7983328104019165, 0.14515066146850586, 0.41592204570770264, 0.44149249792099, 0.0773085355758667, 0.9478030800819397, 0.9814660549163818, 0.42766642570495605, 0.5031828880310059, 0.22636687755584717, 0.6975497603416443, 0.3422049880027771, 0.9274054169654846, 0.9108567833900452, 0.43870705366134644, 0.31938499212265015, 0.06927680969238281, 0.07112109661102295, 0.5251466035842896, 0.16757488250732422, 0.9012603163719177, 0.9962555170059204, 0.24780374765396118, 0.435308039188385, 0.09550482034683228, 0.7226896286010742]"
4,41553,"[0.4751421809196472, 0.6154028177261353, 0.4468865394592285, 0.003028273582458496, 0.2504658102989197, 0.676823616027832, 0.013570010662078857, 0.16632407903671265, 0.34321945905685425, 0.38941359519958496, 0.009087145328521729, 0.7506468296051025, 0.358315110206604, 0.3181162476539612, 0.45520341396331787, 0.6861444711685181, 0.2340778112411499, 0.8850967288017273, 0.17175531387329102, 0.3128695487976074, 0.7530689239501953, 0.12116748094558716, 0.5919278264045715, 0.689878523349762, 0.8511645793914795, 0.9489467740058899, 0.10644173622131348, 0.9255396723747253, 0.07807296514511108, 0.46105122566223145]"
5,60273,"[0.5125057697296143, 0.04175448417663574, 0.2380436658859253, 0.47574251890182495, 0.8983628749847412, 0.1704908013343811, 0.9037625789642334, 0.9657000303268433, 0.7503433227539062, 0.7717060446739197, 0.0029764771461486816, 0.7000632882118225, 0.1260998249053955, 0.5796557068824768, 0.7756722569465637, 0.9665594100952148, 0.47987645864486694, 0.46250903606414795, 0.8091561198234558, 0.11466002464294434, 0.6106321215629578, 0.5092568397521973, 0.7889946103096008, 0.28090155124664307, 0.321042001247406, 0.08825314044952393, 0.6046763062477112, 0.8937488794326782, 0.4534427523612976, 0.2602541446685791]"
6,79543,"[0.7550890445709229, 0.8149677515029907, 0.8959879279136658, 0.7362647652626038, 0.7512859106063843, 0.6913461089134216, 0.8316754102706909, 0.751356303691864, 0.3910485506057739, 0.11235016584396362, 0.8470977544784546, 0.12847304344177246, 0.8120927214622498, 0.21802181005477905, 0.006978273391723633, 0.4552595615386963, 0.47423863410949707, 0.33223557472229004, 0.3161976933479309, 0.5937899351119995, 0.3776227831840515, 0.821804940700531, 0.5628509521484375, 0.5619719624519348, 0.40585488080978394, 0.5609327554702759, 0.1516169309616089, 0.6492403745651245, 0.7841544151306152, 0.2030358910560608]"
7,113963,"[0.3793765902519226, 0.7399336099624634, 0.547320544719696, 0.8937728404998779, 0.34642648696899414, 0.4972333312034607, 0.25948578119277954, 0.9803057312965393, 0.5029465556144714, 0.9856151938438416, 0.9050324559211731, 0.7213540077209473, 0.38023602962493896, 0.7069869041442871, 0.5171080827713013, 0.3118285536766052, 0.1458834409713745, 0.6759617924690247, 0.6839373111724854, 0.826818585395813, 0.38375234603881836, 0.371939480304718, 0.4281834363937378, 0.4857051968574524, 0.30257517099380493, 0.6230297088623047, 0.6844832301139832, 0.5168742537498474, 0.8775966167449951, 0.2276330590248108]"
8,428333,"[0.14827513694763184, 0.8365997076034546, 0.6365565657615662, 0.11366629600524902, 0.24507200717926025, 0.7561978697776794, 0.7245712876319885, 0.036904990673065186, 0.256169855594635, 0.9811875820159912, 0.48610663414001465, 0.18571269512176514, 0.4478338360786438, 0.010461032390594482, 0.39090806245803833, 0.6685886383056641, 0.09751051664352417, 0.48186492919921875, 0.07526648044586182, 0.209622323513031, 0.6623172760009766, 0.9742783308029175, 0.8805479407310486, 0.7533860206604004, 0.04334521293640137, 0.7355940937995911, 0.4078775644302368, 0.2867501974105835, 0.6951820254325867, 0.016737282276153564]"
9,432093,"[0.7923570275306702, 0.4706001877784729, 0.406291663646698, 0.7179701328277588, 0.9789887070655823, 0.2021767497062683, 0.1432664394378662, 0.20249003171920776, 0.8035339117050171, 0.13383668661117554, 0.08353078365325928, 0.6432004570960999, 0.1828857660293579, 0.9377620220184326, 0.2755204439163208, 0.4362298250198364, 0.9940338134765625, 0.048591554164886475, 0.46216344833374023, 0.939713716506958, 0.5762321949005127, 0.10008949041366577, 0.8622891306877136, 0.5735618472099304, 0.39276331663131714, 0.5319452285766602, 0.97301185131073, 0.812827467918396, 0.1898806095123291, 0.8595985174179077]"
10,612473,"[0.3801953196525574, 0.6467803716659546, 0.11258262395858765, 0.6664989590644836, 0.8832487463951111, 0.5912166237831116, 0.8037071228027344, 0.9496495723724365, 0.6225504279136658, 0.5590779781341553, 0.2990413308143616, 0.17473822832107544, 0.7311911582946777, 0.8123728632926941, 0.3297906517982483, 0.7894507646560669, 0.05888396501541138, 0.7773029208183289, 0.3666016459465027, 0.319740355014801, 0.9738976359367371, 0.5821444988250732, 0.8211643695831299, 0.3723143935203552, 0.8097810745239258, 0.8173078894615173, 0.527330219745636, 0.8675992488861084, 0.7715526223182678, 0.769685685634613]"
11,621523,"[0.8454954624176025, 0.4401105046272278, 0.829416811466217, 0.23200279474258423, 0.560408890247345, 0.5997800827026367, 0.9388726353645325, 0.28432750701904297, 0.7859364151954651, 0.25146740674972534, 0.5415764451026917, 0.7763833999633789, 0.045892953872680664, 0.027988731861114502, 0.8010005950927734, 0.23299330472946167, 0.6375725865364075, 0.8654304146766663, 0.9385623931884766, 0.7393037676811218, 0.8639435768127441, 0.7647219300270081, 0.9437503218650818, 0.8602535128593445, 0.23312252759933472, 0.04718434810638428, 0.15741711854934692, 0.8372516632080078, 0.32552897930145264, 0.06733959913253784]"
12,621533,"[0.6977532505989075, 0.8031058311462402, 0.47737401723861694, 0.06619256734848022, 0.7318641543388367, 0.005797028541564941, 0.9061496257781982, 0.3947901129722595, 0.7392719984054565, 0.5633515119552612, 0.4583883285522461, 0.8662651777267456, 0.8677099943161011, 0.09227216243743896, 0.5748888850212097, 0.01675581932067871, 0.9816243648529053, 0.07640951871871948, 0.6479583978652954, 0.5545692443847656, 0.7406169176101685, 0.17631059885025024, 0.8535880446434021, 0.44055503606796265, 0.3558885455131531, 0.25201064348220825, 0.4886178970336914, 0.3479742407798767, 0.2817557454109192, 0.37934744358062744]"
13,621573,"[0.9645705223083496, 0.5364557504653931, 0.2624804973602295, 0.7238977551460266, 0.8075442910194397, 0.4734315276145935, 0.3077911138534546, 0.7778107523918152, 0.24856269359588623, 0.16334223747253418, 0.07277101278305054, 0.21702653169631958, 0.10271698236465454, 0.6046212911605835, 0.524774968624115, 0.786689043045044, 0.4044191241264343, 0.5742923617362976, 0.4186885952949524, 0.7925625443458557, 0.6886373162269592, 0.9068396091461182, 0.7472712993621826, 0.8258407115936279, 0.5309164524078369, 0.10967004299163818, 0.09369504451751709, 0.03441953659057617, 0.13083970546722412, 0.9725658297538757]"
14,621713,"[0.13244545459747314, 0.46983569860458374, 0.2774098515510559, 0.6356275677680969, 0.3378428816795349, 0.9170650839805603, 0.5999597907066345, 0.35856133699417114, 0.00812464952468872, 0.9971414804458618, 0.596052885055542, 0.7384751439094543, 0.8222435116767883, 0.18204569816589355, 0.5049973130226135, 0.17119461297988892, 0.2427048683166504, 0.45114922523498535, 0.7158162593841553, 0.1090119481086731, 0.32162392139434814, 0.9528014659881592, 0.29124486446380615, 0.523130476474762, 0.2197064757347107, 0.10638129711151123, 0.8483605980873108, 0.3402503728866577, 0.7455613017082214, 0.43866556882858276]"
15,624413,"[0.010107338428497314, 0.15017259120941162, 0.7113475203514099, 0.32078874111175537, 0.3095683455467224, 0.16675406694412231, 0.7660966515541077, 0.3117101788520813, 0.283833384513855, 0.6451537609100342, 0.8599087595939636, 0.5480722784996033, 0.9581379890441895, 0.7162586450576782, 0.5047979950904846, 0.45514988899230957, 0.21307873725891113, 0.9110631942749023, 0.684879720211029, 0.6279440522193909, 0.3596447706222534, 0.9637214541435242, 0.30025237798690796, 0.725298285484314, 0.3289185166358948, 0.911288321018219, 0.46363794803619385, 0.5907717347145081, 0.6374229788780212, 0.3963444232940674]"
16,644603,"[0.5710533261299133, 0.09245556592941284, 0.5766860246658325, 0.731564998626709, 0.932453989982605, 0.8847162127494812, 0.9438919425010681, 0.7788676023483276, 0.10643631219863892, 0.15730589628219604, 0.045921504497528076, 0.6550679802894592, 0.26187771558761597, 0.11945492029190063, 0.06278562545776367, 0.1636669635772705, 0.8608795404434204, 0.04961270093917847, 0.8468726873397827, 0.04971367120742798, 0.6428586840629578, 0.13138586282730103, 0.12378394603729248, 0.5958651304244995, 0.5722262263298035, 0.7234538197517395, 0.6380172967910767, 0.270538866519928, 0.18749743700027466, 0.6024038791656494]"
17,646193,"[0.2232351303100586, 0.18105429410934448, 0.4778405427932739, 0.8925961256027222, 0.39003080129623413, 0.0295487642288208, 0.806861937046051, 0.8185133337974548, 0.019712626934051514, 0.9443641304969788, 0.9815680980682373, 0.8992077112197876, 0.5129399299621582, 0.6581645607948303, 0.9146342277526855, 0.15047746896743774, 0.8438669443130493, 0.6314186453819275, 0.36969149112701416, 0.006157875061035156, 0.8592042326927185, 0.6299239993095398, 0.14358770847320557, 0.4986923336982727, 0.20192080736160278, 0.6932656764984131, 0.22351700067520142, 0.5170496106147766, 0.8407480716705322, 0.47051477432250977]"
