userId,CreationDate,Tokens
1,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse http://a apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
1,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
1,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
2,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
2,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
2,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
3,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
3,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
3,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
4,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
4,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
4,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
5,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
5,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
5,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse http://p
6,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
6,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
6,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
7,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
7,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse http://i apple microsoft samsung sony computer monitor digital dell keyboard mouse
7,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
8,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
8,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
8,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
9,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse http://b apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
9,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
9,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
10,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
10,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
10,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
11,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
11,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
11,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
12,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
12,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
12,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
13,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
13,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
13,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
14,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
14,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
14,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse http://q apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
15,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
15,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse http://j
15,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
16,2010-12-01,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
16,2010-12-02,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
16,2010-12-03,apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse apple microsoft samsung sony computer monitor digital dell keyboard mouse
