rt!,indy,giving,rosa,parks,55,happy,her,seat,ago
0.079, 0.058, 0.029, 0.023, 0.018, 0.011, 0.010, 0.010, 0.010, 0.010
at,festival,(,radio,positive,#buylife,st,tough,that!,#qatar
0.016, 0.010, 0.009, 0.008, 0.007, 0.006, 0.006, 0.006, 0.006, 0.006
...,-,new,at,from,with,out,our,&,wikileaks
0.063, 0.035, 0.015, 0.014, 0.011, 0.011, 0.010, 0.010, 0.009, 0.007
janeiro,sa,par,france,•,toronto,jyj,temps,dia!,ex
0.021, 0.020, 0.015, 0.013, 0.012, 0.010, 0.009, 0.008, 0.007, 0.007
world,cup,2018,2022,host,russia,fifa,qatar,england,bid
0.056, 0.040, 0.030, 0.025, 0.024, 0.022, 0.021, 0.020, 0.014, 0.014
#news,#usa,—,ppl,mr,using,#freegary,promote,sky,world:
0.035, 0.013, 0.012, 0.011, 0.011, 0.010, 0.009, 0.008, 0.008, 0.007
you,my,it,that,have,we,me,your,not,be
0.030, 0.020, 0.017, 0.016, 0.013, 0.013, 0.012, 0.012, 0.011, 0.011
.,charity,dm,ang,],letting,,purchase,oscar,30%
0.069, 0.018, 0.009, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006
tax,gop,#p2,cuts,...,obama,&,are,#tcot,#dadt
0.016, 0.011, 0.011, 0.010, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007
500,@reuters_biz:,#howdoyouknow,microsoft,photo:,xbox,radia,minha,mão,tapes
0.148, 0.015, 0.013, 0.011, 0.010, 0.009, 0.008, 0.007, 0.006, 0.006
iphone,free,google,grammy,android,app,apple,ipad,music,nominations
0.049, 0.030, 0.026, 0.021, 0.017, 0.016, 0.015, 0.013, 0.013, 0.012
this,your,how,can,from,be,an,our,we,will
0.019, 0.019, 0.019, 0.018, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015
@dalailama:,cruise,player,appreciate,cool.,alternative,«,nba,you'd,nfl
0.010, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007
?,daily,top,stories,by,today,out!,today's,dead.,civil
0.193, 0.039, 0.034, 0.031, 0.030, 0.025, 0.023, 0.010, 0.009, 0.008
de,la,que,en,el,no,do,para,...,como
0.112, 0.036, 0.033, 0.032, 0.029, 0.026, 0.019, 0.017, 0.015, 0.014
snow,due,weather,closed,wednesday,airport,travel,at,flights,london
0.040, 0.018, 0.016, 0.014, 0.013, 0.013, 0.013, 0.012, 0.009, 0.009
loss,cant,lunch,here.,#music,winning,launched,roads,ill,christmas
0.017, 0.013, 0.011, 0.009, 0.009, 0.008, 0.007, 0.007, 0.006, 0.006
peace,politicos,irish,card,visa,dennis,marriage,belgium,angels,ok
0.150, 0.016, 0.016, 0.010, 0.010, 0.009, 0.009, 0.008, 0.008, 0.008
-,by,...,wikileaks,euro,as,us,u.s.,#wikileaks,says
0.015, 0.013, 0.013, 0.013, 0.010, 0.009, 0.008, 0.008, 0.007, 0.007
???,??,????,?????,??????,?,???????,????????,>>>,?????????
0.148, 0.121, 0.108, 0.085, 0.061, 0.048, 0.047, 0.030, 0.025, 0.024
!,!!,tweets,retweet,plz,...:,$,mess,$10,twitter.
0.141, 0.026, 0.018, 0.018, 0.016, 0.013, 0.008, 0.008, 0.007, 0.007
lol.,give,#breakingnews,di,..,paulo,ga,#fb,waste,vs
0.138, 0.116, 0.042, 0.027, 0.012, 0.010, 0.009, 0.008, 0.007, 0.007
home,now,twitter's,wat,dat,van,online,fact,address,@cnnbrk:
0.086, 0.073, 0.068, 0.008, 0.008, 0.006, 0.006, 0.006, 0.005, 0.005
#ff,#nowplaying,follow,;-),:-),(via,!!!,hotel,thanks,night.
0.068, 0.033, 0.021, 0.019, 0.018, 0.016, 0.016, 0.014, 0.012, 0.010
rt:,crime,do.,??????????????????????,voted,????????????????????????????,sister,blessed,thai,#mashableawards
0.026, 0.019, 0.016, 0.014, 0.011, 0.010, 0.009, 0.008, 0.008, 0.008
via,-,--,@addthis,video,@youtube,nasa,youtube,der,die
0.071, 0.048, 0.035, 0.026, 0.026, 0.017, 0.016, 0.015, 0.014, 0.011
???.,????.,morning!,#cnn,[news],ford,mayor,lucky,opened,??????.
0.027, 0.026, 0.020, 0.016, 0.016, 0.015, 0.013, 0.012, 0.010, 0.010
:,la,le,et,les,à,des,pour,du,il
0.080, 0.041, 0.037, 0.032, 0.026, 0.024, 0.023, 0.019, 0.018, 0.013
was,last,week,download,ranking,on!,goes,book,jesus,ass
0.068, 0.058, 0.043, 0.033, 0.033, 0.031, 0.005, 0.005, 0.005, 0.004
world,aids,by,red,please,each,go,goes,day,&
0.049, 0.044, 0.044, 0.037, 0.037, 0.036, 0.036, 0.028, 0.026, 0.014
